EstadioID;total_jogos
415;17
416;165
417;234
418;102
419;202
420;44
421;311
422;102
423;185
424;64
425;49
426;265
427;198
428;293
429;12
430;131
431;266
432;149
433;46
434;218
435;188
436;23
437;105
438;269
439;69
440;37
441;154
442;18
443;195
444;238
445;190
446;24
447;176
448;122
449;160
450;117
451;30
452;48
453;176
454;60
455;83
456;92
457;148
458;45
459;125
460;102
461;147
462;130
463;243
464;34
465;2
466;172
467;153
468;12
469;43
470;42
471;183
472;148
473;6
474;81
475;143
476;37
477;83
478;113
479;7
480;107
481;100
482;112
483;190
484;68
485;227
486;37
488;112
489;27
490;104
491;12
492;86
493;133
494;86
495;78
496;29
497;155
498;7
499;25
500;42
501;48
502;149
504;17
505;59
506;268
507;126
508;186
509;105
510;37
511;23
512;2
513;152
514;26
515;182
516;51
517;129
518;74
519;206
520;258
521;125
522;74
523;86
524;6
525;142
526;251
527;223
528;92
529;43
530;188
531;123
532;241
533;30
534;8
535;60
536;28
537;117
538;32
539;236
540;81
541;4
542;74
543;69
544;23
545;70
546;279
547;47
548;196
549;42
550;57
551;211
552;77
553;93
554;126
555;136
556;10
557;82
558;127
559;203
560;233
561;180
562;22
563;122
564;5
565;164
566;193
567;143
568;18
569;526
570;187
571;117
572;231
573;166
574;7
575;178
576;48
577;34
578;113
579;3
580;45
581;69
582;41
583;157
584;140
585;354
586;256
587;45
588;59
589;47
590;76
592;117
593;9
594;140
595;105
596;192
597;131
598;53
599;157
600;29
601;116
602;71
603;226
604;28
605;129
606;107
607;23
608;10
609;45
610;149
611;76
612;424
613;22
614;78
615;179
616;86
617;112
618;102
619;216
620;299
621;22
622;20
623;190
624;196
625;59
626;210
627;186
628;169
629;128
630;46
631;55
632;29
633;252
634;32
635;45
636;201
637;48
638;7
639;67
640;118
641;67
642;25
643;162
644;113
645;55
646;24
647;102
648;192
649;27
650;29
651;121
652;172
653;72
654;40
655;14
656;288
657;9
658;537
659;191
660;49
661;24
662;237
663;23
664;135
665;63
666;169
667;42
668;88
669;59
670;6
671;255
672;212
673;98
674;3
675;116
676;237
677;20
678;207
679;118
680;75
681;203
682;18
683;277
684;94
685;202
687;96
688;208
689;164
690;16
691;148
692;184
693;169
694;29
695;223
696;10
697;97
698;29
699;229
700;5
701;248
702;3
703;255
704;47
705;26
706;204
707;260
708;16
709;169
710;79
711;6
712;29
713;38
714;213
715;225
716;19
717;93
718;38
719;172
720;66
722;30
723;67
724;194
725;115
726;208
727;19
728;96
730;38
731;158
732;34
733;178
734;117
735;95
736;57
737;44
738;90
739;197
740;43
741;221
742;38
743;95
744;7
745;148
746;115
747;17
748;280
749;246
750;72
751;100
752;133
753;35
754;137
755;233
756;192
757;207
758;169
759;41
760;195
761;80
762;76
763;21
764;136
765;243
766;220
767;79
768;51
769;19
770;136
771;20
772;100
773;171
774;100
775;269
776;126
777;152
778;138
779;36
780;99
781;142
782;154
783;90
784;101
785;221
786;31
787;8
788;103
789;7
790;147
791;174
792;228
793;16
794;109
795;26
796;86
797;118
798;135
799;50
800;202
801;80
802;117
803;168
804;133
805;11
806;16
807;114
808;220
809;46
810;156
811;79
812;184
813;203
814;139
815;14
816;124
817;115
818;45
819;87
820;19
821;31
822;32
823;98
824;1
830;1
836;34
850;231
859;1
860;4
868;2
924;4
931;9
969;44
1000;1
1001;5
1004;2
1017;85
1021;1
1022;134
1035;2
1037;87
1038;3
1042;3
1045;1
1049;4
1050;57
1058;5
1067;5
1085;44
1086;22
1097;18
1104;91
1109;125
1114;64
1115;4
1116;2
1122;146
1137;2
1142;25
1152;1
1156;4
1178;1
1188;114
1195;7
1201;8
1208;8
1216;3
1220;38
1227;2
1231;17
1243;59
1249;4
1258;1
1262;1
1267;11
1286;1
1290;1
1297;1
1315;16
1323;11
1334;49
1345;1
1359;156
1360;64
1377;27
1381;2
1388;1
1397;1
1398;6
1419;1
1424;15
1433;12
1443;19
1445;10
1474;1
1477;2
1494;1
1516;33
1521;19
1543;122
1547;159
1553;6
1561;4
1565;1
1570;66
1580;68
1588;199
1592;1
1607;7
1613;76
1619;67
1621;1
1633;20
1638;1
1647;287
1653;1
1670;2
1673;10
1675;1
1677;42
1696;7
1712;4
1715;1
1717;2
1737;53
1751;146
1752;2
1759;56
1767;1
1771;3
1775;61
1781;1
1803;103
1824;6
1837;2
1838;52
1872;149
1911;1
1917;1
1926;70
1952;1
1958;1
1959;1
1975;9
1977;21
1994;1
2003;4
2016;1
2017;1
2023;76
2027;34
2030;3
2032;4
2044;6
2045;40
2055;1
2057;1
2069;1
2088;1
2098;81
2108;1
2130;2
2168;148
2182;103
2185;2
2186;7
2190;1
2219;76
2235;8
2259;1
2261;201
2323;13
2334;50
2341;1
2360;1
2385;82
2395;2
2397;132
2411;176
2418;1
2424;1
2453;47
2482;15
2483;102
2493;3
2505;1
2506;225
2522;94
2523;1
2539;1
2540;64
2548;2
2552;1
2564;18
2568;23
2569;1
2603;5
2612;1
2613;1
2623;2
2633;40
2637;6
2644;1
2661;1
2666;126
2692;41
2694;13
