ID;Nome do Estádio;Capacidade;ID do País;Estádio - País;Nome do País;EstadioPais
548;Euroborg                                                    ;22555;154;154;St. Kitts & Nevis                                 ;
569;Giuseppe Meazza                                             ;75923;154;154;St. Kitts & Nevis                                 ;
571;Goffertstadion                                              ;12500;154;154;St. Kitts & Nevis                                 ;
572;Goodison Park                                               ;39571;154;154;St. Kitts & Nevis                                 ;
573;Groupama Stadium                                            ;59186;154;154;St. Kitts & Nevis                                 ;
574;Gtech Community Stadium                                     ;17250;154;154;St. Kitts & Nevis                                 ;
576;Gürsel Aksel Stadyumu                                       ;19713;154;154;St. Kitts & Nevis                                 ;
577;Harboe Arena                                                ;10000;154;154;St. Kitts & Nevis                                 ;
578;Heinz-von-Heiden-Arena                                      ;49000;154;154;St. Kitts & Nevis                                 ;
580;Herman Vanderpoortenstadion                                 ;14538;154;154;St. Kitts & Nevis                                 ;
582;Home Deluxe Arena                                           ;15000;154;154;St. Kitts & Nevis                                 ;
583;Ibrox Stadium                                               ;50987;154;154;St. Kitts & Nevis                                 ;
585;Jan-Breydel-Stadion                                         ;29062;154;154;St. Kitts & Nevis                                 ;
586;Johan Cruijff ArenA                                         ;55600;154;154;St. Kitts & Nevis                                 ;
587;John Smith's Stadium                                        ;24500;154;154;St. Kitts & Nevis                                 ;
588;JYSK Park                                                   ;10000;154;154;St. Kitts & Nevis                                 ;
589;Kaftanzoglio Stadio                                         ;27770;154;154;St. Kitts & Nevis                                 ;
590;Kalyon Stadyumu                                             ;33502;154;154;St. Kitts & Nevis                                 ;
593;Kenilworth Road                                             ;10226;154;154;St. Kitts & Nevis                                 ;
473;Coliseum                                                    ;16800;154;154;St. Kitts & Nevis                                 ;
594;Kilmac Stadium at Dens Park                                 ;11850;154;154;St. Kitts & Nevis                                 ;
595;King Power at Den Dreef Stadion                             ;10020;154;154;St. Kitts & Nevis                                 ;
596;King Power Stadium                                          ;32273;154;154;St. Kitts & Nevis                                 ;
597;Kirbiyik Holding Stadyumu                                   ;10128;154;154;St. Kitts & Nevis                                 ;
