ID;Nome;Capacidade;EstadioID;total_jogos
415;19 Eylül Stadyum                                            ;11024;;
416;Aalborg Portland Park                                       ;13800;;
417;Abanca Balaídos                                             ;29000;;
418;Abanca Riazor                                               ;32912;;
419;Abe Lenstra Stadion                                         ;27224;;
420;Adriatico                                                   ;20476;;
421;AFAS Stadion                                                ;19478;;
422;Ak Bars Arena                                               ;45379;;
423;Akhmat-Arena                                                ;30200;;
424;Alberto Picco                                               ;11676;;
425;Ali Sami Yen Spor Kompleksi RAMS Park                       ;52223;;
426;Allianz Arena                                               ;75024;;
427;Allianz Riviera                                             ;36178;;
428;Allianz Stadium                                             ;41507;;
429;Alsancak Mustafa Denizli Stadi                              ;15000;;
430;AMEX Stadium                                                ;31800;;
431;Anfield                                                     ;54074;;
432;Apostolos Nikolaidis                                        ;15000;;
433;Arechi                                                      ;29739;;
434;Arena Khimki                                                ;18636;;
435;Arena Lviv                                                  ;34725;;
436;Armando Picchi                                              ;19238;;
437;Arsenal                                                     ;19241;;
438;Artemio Franchi                                             ;43147;;
439;Atatürk Olimpiyat                                           ;74753;;
440;Audi Sportpark                                              ;15800;;
441;Avangard                                                    ;10640;;
442;Balikesir Atatürk                                           ;15800;;
443;Basaksehir Fatih Terim                                      ;17156;;
444;BayArena                                                    ;30210;;
445;BBSP Stadium, Rugby Park                                    ;18128;;
446;Benito Stirpe                                               ;16227;;
447;Benito Villamarín                                           ;60721;;
448;bet365 Stadium                                              ;30089;;
449;Bingoal Stadion                                             ;15000;;
450;Blue Water Arena                                            ;16942;;
451;Bluenergy Stadium                                           ;25144;;
452;Bramall Lane                                                ;32702;;
453;Brøndby Stadion                                             ;28000;;
454;Bursa Büyüksehir Belediye Stadyumu                          ;43361;;
455;Butarque                                                    ;12454;;
456;Cambuurstadion                                              ;10250;;
457;Campo de Fútbol de Vallecas                                 ;15105;;
458;Cardiff City Stadium                                        ;33280;;
459;Carlo Castellani                                            ;19847;;
460;Carrow Road                                                 ;27244;;
461;Çaykur Didi                                                 ;15332;;
462;Cegeka Arena                                                ;24956;;
463;Celtic Park                                                 ;60832;;
464;Central Stadium of Profsoyuzes                              ;21793;;
465;Centro Desportivo da Madeira                                ;2500;;
466;Cepheus Park Randers                                        ;10300;;
467;Ceres Park                                                  ;19433;;
468;Cherkasy-Arena                                              ;10321;;
469;Cibali - Angelo Massimino                                   ;20204;;
470;Ciro Vigorito                                               ;16867;;
471;Ciutat de València                                          ;26354;;
472;Civitas Metropolitano                                       ;67829;;
473;Coliseum                                                    ;16800;;
474;"Comunale Renzo Barbera ""La Favorita""                        ";36365;;
475;Corendon Airlines Park Antalya Stadi                        ;32537;;
476;Çotanak Spor Kompleksi                                      ;21500;;
477;Covebo Stadion - De Koel                                    ;8000;;
478;Craven Cottage                                              ;25700;;
479;Daio Wasabi Stayen Stadium                                  ;14600;;
480;Daknamstadion                                               ;12000;;
481;De Adelaarshorst                                            ;9909;;
482;De Bosuil                                                   ;16144;;
483;De Grolsch Veste                                            ;30205;;
484;De Oude Meerdijk                                            ;8309;;
485;Decathlon Arena-Stade Pierre-Mauroy                         ;50186;;
486;Denizli Atatürk Stadi                                       ;18745;;
487;Deutsche Bank Park                                          ;55000;;
488;Diaz Arena                                                  ;8432;;
489;Dimotiko Gipedo Neapolis                                    ;5500;;
490;Dimotiko Gipedo Perivolia                                   ;3700;;
491;Dimotiko Gipedo Serron                                      ;9500;;
492;Dimotiko Stadio Verias                                      ;6350;;
493;Dnipro-Arena                                                ;31003;;
494;Dr. Necmettin Seyhoglu                                      ;12400;;
495;DS Arena                                                    ;7500;;
496;DW Stadium                                                  ;25133;;
497;Easter Road Stadium                                         ;20250;;
498;Edmond Machtensstadion                                      ;11000;;
499;EINTRACHT-Stadion                                           ;23325;;
500;El Alcoraz                                                  ;9128;;
501;El Molinón - Enrique Castro Quini                           ;29029;;
502;El Sadar                                                    ;23576;;
503;Elazig Stadyumu                                             ;23000;;
504;Elindus Arena                                               ;12250;;
505;Elland Road                                                 ;37890;;
506;Emirates Stadium                                            ;60704;;
507;Ennio Tardini                                               ;22352;;
508;Erve Asito                                                  ;12080;;
509;Eryaman Stadyumu                                            ;20560;;
510;Erzurum Kazim Karabekir                                     ;23700;;
511;Esenyurt Necmi Kadioglu Stadyumu                            ;7500;;
512;Eskisehir Yeni Stadyum                                      ;34930;;
513;Estádio António Coimbra da Mota                             ;8000;;
514;Estádio C. J. de Almeida Freitas                            ;6153;;
515;Estádio Capital do Móvel                                    ;9076;;
516;Estádio CD das Aves                                         ;5441;;
517;Estádio Cidade de Barcelos                                  ;12046;;
518;Estádio Cidade de Coimbra                                   ;29744;;
519;Estádio D. Afonso Henriques                                 ;30029;;
520;Estádio da Luz                                              ;64642;;
521;Estádio da Madeira                                          ;5586;;
522;Estadio de Gran Canaria                                     ;32400;;
523;Estádio de São Miguel                                       ;12500;;
524;Estádio do Bessa Século XXI                                 ;28263;;
525;Estádio do Bonfim                                           ;18642;;
526;Estádio do Dragão                                           ;50033;;
527;Estádio do Marítimo                                         ;10600;;
528;Estádio do Restelo                                          ;19980;;
529;Estádio do Vizela                                           ;6565;;
530;Estádio dos Arcos                                           ;5300;;
531;Estádio João Cardoso                                        ;5000;;
532;Estádio José Alvalade XXI                                   ;50095;;
533;Estádio José Arcanjo                                        ;10080;;
534;Estádio José Gomes                                          ;9288;;
